,M
0,3
1,7
2,0
3,5
4,7
5,4
6,3
7,7
8,5
9,5
10,2
11,3
12,-1
13,0
14,4
15,2
16,-2
17,-1
18,1
19,1
20,1
21,-2
22,-2
23,1
24,2
25,-4
26,-4
27,0
28,-2
29,-3
30,-2
31,-1
32,-3
33,-6
34,-7
35,-5
36,-3
37,-3
38,-5
39,-4
40,-8
41,-5
42,-9
43,-8
44,-8
45,-6
46,-9
47,-11
48,-13
49,-11
50,-12
51,-11
52,-12
53,-12
54,-10
55,-11
56,-13
57,-14
58,-9
59,-13
60,-9
61,-9
62,-12
63,-16
64,-14
65,-19
66,-15
67,-16
68,-13
69,-16
70,-15
71,-16
72,-16
73,-14
74,-14
75,-17
76,-18
77,-14
78,-15
79,-21
80,-19
81,-15
82,-19
83,-18
84,-20
85,-17
86,-19
87,-19
88,-22
89,-19
90,-19
91,-21
92,-22
93,-23
94,-20
95,-23
96,-22
97,-27
98,-21
99,-22
100,-23
101,-24
102,-26
103,-26
104,-25
105,-22
106,-25
107,-22
108,-27
109,-23
110,-24
111,-24
112,-26
113,-25
114,-22
115,-24
116,-24
117,-21
118,-24
119,-23
120,-23
121,-24
122,-21
123,-23
124,-24
125,-23
126,-22
127,-24
128,-23
129,-25
130,-22
131,-21
132,-23
133,-22
134,-23
135,-23
136,-22
137,-21
138,-22
139,-20
140,-22
141,-20
142,-22
143,-21
144,-18
145,-21
146,-18
147,-20
148,-18
149,-19
150,-17
151,-21
152,-20
153,-17
154,-17
155,-16
156,-16
157,-14
158,-17
159,-14
160,-12
161,-11
162,-12
163,-14
164,-13
165,-13
166,-13
167,-12
168,-9
169,-13
170,-8
171,-12
172,-11
173,-10
174,-12
175,-12
176,-7
177,-9
178,-8
179,-7
180,-10
181,-11
182,-8
183,-9
184,-9
185,-7
186,-10
187,-9
188,-12
189,-11
190,-10
191,-10
192,-6
193,-7
194,-10
195,-10
196,-8
197,-9
198,-8
199,-9
200,-9
201,-8
202,-8
203,-11
204,-12
205,-10
206,-14
207,-10
208,-13
209,-14
210,-11
211,-15
212,-17
213,-15
214,-9
215,-11
216,-11
217,-9
218,-13
219,-13
220,-13
221,-11
222,-13
223,-12
224,-11
225,-14
226,-14
227,-16
228,-13
229,-16
230,-14
231,-12
232,-15
233,-16
234,-13
235,-15
236,-15
237,-15
238,-11
239,-16
240,-17
241,-15
242,-16
243,-17
244,-16
245,-15
246,-16
247,-13
248,-17
249,-16
250,-17
251,-18
252,-18
253,-17
254,-16
255,-13
256,-17
257,-18
258,-17
259,-17
260,-15
261,-16
262,-14
263,-13
264,-18
265,-17
266,-18
267,-18
268,-18
269,-15
270,-16
271,-16
272,-12
273,-16
274,-19
275,-14
276,-15
277,-16
278,-15
279,-14
280,-15
281,-17
282,-16
283,-16
284,-16
285,-18
286,-15
287,-17
288,-17
289,-18
290,-17
291,-18
292,-15
293,-17
294,-15
295,-18
296,-19
297,-16
298,-16
299,-15
300,-14
301,-15
302,-15
303,-18
304,-14
305,-15
306,-16
307,-16
308,-11
309,-17
310,-17
311,-15
312,-16
313,-15
314,-15
315,-13
316,-13
317,-14
318,-12
319,-11
320,-14
321,-11
322,-10
323,-12
324,-6
325,-9
326,-12
327,-10
328,-7
329,-10
330,-9
331,-7
332,-9
333,-5
334,-10
335,-8
336,-6
337,-7
338,-7
339,-6
340,-8
341,-8
342,-9
343,-5
344,-5
345,-7
346,-5
347,-4
348,-9
349,-4
350,-6
351,-6
352,-5
353,-4
354,-6
355,-1
356,-5
357,-4
358,-3
359,-4
360,-4
361,0
362,-1
363,-2
364,1
365,0
366,1
367,0
368,1
369,4
370,2
371,6
372,3
373,3
374,5
375,-1
376,4
377,7
378,2
379,-1
380,3
381,1
382,2
383,2
384,4
385,6
386,5
387,5
388,6
389,3
390,7
391,6
392,5
393,8
394,6
395,6
396,6
397,8
398,5
399,6
400,6
401,10
402,10
403,5
404,8
405,6
406,10
407,8
408,11
409,7
410,11
411,5
412,7
413,6
414,10
415,9
416,8
417,9
418,7
419,7
420,7
421,7
422,7
423,11
424,7
425,8
426,7
427,8
428,5
429,8
430,8
431,8
432,9
433,9
434,8
435,7
436,8
437,9
438,8
439,9
440,9
441,14
442,10
443,11
444,12
445,11
446,11
447,10
448,13
449,10
450,8
451,10
452,11
453,12
454,9
455,10
456,11
457,10
458,9
459,9
460,10
461,10
462,9
463,10
464,10
465,10
466,9
467,7
468,11
469,11
470,11
471,12
472,10
473,9
474,7
475,8
476,9
477,11
478,10
479,8
480,9
481,6
482,8
483,7
484,8
485,10
486,7
487,5
488,7
489,6
490,9
491,3
492,2
493,5
494,7
495,7
496,9
497,3
498,2
499,1
500,3
501,2
502,4
503,2
504,1
505,-1
506,-1
507,4
508,1
509,2
510,2
511,4
512,1
513,3
514,3
515,2
516,2
517,3
518,2
519,3
520,3
521,3
522,1
523,3
524,2
525,3
526,2
527,8
528,2
529,3
530,3
531,9
532,2
533,3
534,7
535,4
536,2
